code,name_en,city_en,source
ABE,Lehigh Valley International Airport,Allentown,openflights-ourairports
ABI,Abilene Regional Airport,Abilene,openflights-ourairports
ABQ,Albuquerque International Sunport,Albuquerque,openflights-ourairports
ABR,Aberdeen Regional Airport,Aberdeen,openflights-ourairports
ABY,Southwest Georgia Regional Airport,Albany,openflights-ourairports
ACK,Nantucket Memorial Airport,Nantucket,openflights-ourairports
ACT,Waco Regional Airport,Waco,openflights-ourairports
ACV,California Redwood Coast-Humboldt County Airport,Arcata CA,openflights-ourairports
ACY,Atlantic City International Airport,Atlantic City,openflights-ourairports
ADK,Adak Airport,Adak Island,openflights-ourairports
ADQ,Kodiak Airport,Kodiak,openflights-ourairports
AEX,Alexandria International Airport,Alexandria,openflights-ourairports
AGS,Augusta Regional At Bush Field,Bush Field,openflights-ourairports
AKN,King Salmon Airport,King Salmon,openflights-ourairports
ALB,Albany International Airport,Albany,openflights-ourairports
ALO,Waterloo Regional Airport,Waterloo,openflights-ourairports
AMA,Rick Husband Amarillo International Airport,Amarillo,openflights-ourairports
ANC,Ted Stevens Anchorage International Airport,Anchorage,openflights-ourairports
APN,Alpena County Regional Airport,Alpena,openflights-ourairports
ASE,Aspen-Pitkin Co/Sardy Field,Aspen,openflights-ourairports
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,openflights-ourairports
ATW,Appleton International Airport,Appleton,openflights-ourairports
AUS,Austin Bergstrom International Airport,Austin,openflights-ourairports
AVL,Asheville Regional Airport,Asheville,openflights-ourairports
AVP,Wilkes Barre Scranton International Airport,Scranton,openflights-ourairports
AZA,Phoenix-Mesa-Gateway Airport,Mesa,openflights-ourairports
AZO,Kalamazoo Battle Creek International Airport,Kalamazoo,openflights-ourairports
BDL,Bradley International Airport,Windsor Locks,openflights-ourairports
BET,Bethel Airport,Bethel,openflights-ourairports
BFF,Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,openflights-ourairports
BFL,Meadows Field,Bakersfield,openflights-ourairports
BGM,Greater Binghamton/Edwin A Link field,Binghamton,openflights-ourairports
BGR,Bangor International Airport,Bangor,openflights-ourairports
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,openflights-ourairports
BIH,Eastern Sierra Regional Airport,Bishop,openflights-ourairports
BIL,Billings Logan International Airport,Billings,openflights-ourairports
BIS,Bismarck Municipal Airport,Bismarck,openflights-ourairports
BJI,Bemidji Regional Airport,Bemidji,openflights-ourairports
BLI,Bellingham International Airport,Bellingham,openflights-ourairports
BLV,Scott AFB/Midamerica Airport,Belleville,openflights-ourairports
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,openflights-ourairports
BNA,Nashville International Airport,Nashville,openflights-ourairports
BOI,Boise Air Terminal/Gowen Field,Boise,openflights-ourairports
BOS,General Edward Lawrence Logan International Airport,Boston,openflights-ourairports
BPT,Southeast Texas Regional Airport,Beaumont,openflights-ourairports
BQN,Rafael Hernandez Airport,Aguadilla,openflights-ourairports
BRD,Brainerd Lakes Regional Airport,Brainerd,openflights-ourairports
BRO,Brownsville South Padre Island International Airport,Brownsville,openflights-ourairports
BRW,Wiley Post Will Rogers Memorial Airport,Barrow,openflights-ourairports
BTM,Bert Mooney Airport,Butte,openflights-ourairports
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,openflights-ourairports
BTV,Burlington International Airport,Burlington,openflights-ourairports
BUF,Buffalo Niagara International Airport,Buffalo,openflights-ourairports
BUR,Bob Hope Airport,Burbank,openflights-ourairports
BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,openflights-ourairports
BZN,Gallatin Field,Bozeman,openflights-ourairports
CAE,Columbia Metropolitan Airport,Columbia,openflights-ourairports
CAK,Akron Canton Regional Airport,Akron,openflights-ourairports
CDC,Cedar City Regional Airport,Cedar City,openflights-ourairports
CDV,Merle K (Mudhole) Smith Airport,Cordova,openflights-ourairports
CHA,Lovell Field,Chattanooga,openflights-ourairports
CHO,Charlottesville Albemarle Airport,Charlottesville VA,openflights-ourairports
CHS,Charleston Air Force Base-International Airport,Charleston,openflights-ourairports
CID,The Eastern Iowa Airport,Cedar Rapids,openflights-ourairports
CIU,Chippewa County International Airport,Sault Ste Marie,openflights-ourairports
CKB,North Central West Virginia Airport,Clarksburg,openflights-ourairports
CLD,Mc Clellan-Palomar Airport,Carlsbad,openflights-ourairports
CLE,Cleveland Hopkins International Airport,Cleveland,openflights-ourairports
CLL,Easterwood Field,College Station,openflights-ourairports
CLT,Charlotte Douglas International Airport,Charlotte,openflights-ourairports
CMH,John Glenn Columbus International Airport,Columbus,openflights-ourairports
CMI,University of Illinois Willard Airport,Champaign,openflights-ourairports
CMX,Houghton County Memorial Airport,Hancock,openflights-ourairports
COD,Yellowstone Regional Airport,Cody,openflights-ourairports
COS,City of Colorado Springs Municipal Airport,Colorado Springs,openflights-ourairports
COU,Columbia Regional Airport,Columbia,openflights-ourairports
CPR,Casper-Natrona County International Airport,Casper,openflights-ourairports
CRP,Corpus Christi International Airport,Corpus Christi,openflights-ourairports
CRW,Yeager Airport,Charleston,openflights-ourairports
CVG,Cincinnati Northern Kentucky International Airport,Cincinnati,openflights-ourairports
CWA,Central Wisconsin Airport,Wassau,openflights-ourairports
CYS,Cheyenne Regional Jerry Olson Field,Cheyenne,openflights-ourairports
DAB,Daytona Beach International Airport,Daytona Beach,openflights-ourairports
DAL,Dallas Love Field,Dallas,openflights-ourairports
DAY,James M Cox Dayton International Airport,Dayton,openflights-ourairports
DCA,Ronald Reagan Washington National Airport,Washington,openflights-ourairports
DDC,Dodge City Regional Airport,Dodge City,openflights-ourairports
DEC,Decatur Airport,Decatur,openflights-ourairports
DEN,Denver International Airport,Denver,openflights-ourairports
DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,openflights-ourairports
DHN,Dothan Regional Airport,Dothan,openflights-ourairports
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,openflights-ourairports
DLG,Dillingham Airport,Dillingham,openflights-ourairports
DLH,Duluth International Airport,Duluth,openflights-ourairports
DRO,Durango La Plata County Airport,Durango,openflights-ourairports
DSM,Des Moines International Airport,Des Moines,openflights-ourairports
DTW,Detroit Metropolitan Wayne County Airport,Detroit,openflights-ourairports
DVL,Devils Lake Regional Airport,Devils Lake,openflights-ourairports
EAR,Kearney Regional Airport,Kearney,manual
EAU,Chippewa Valley Regional Airport,Eau Claire,openflights-ourairports
ECP,Northwest Florida Beaches International Airport,Panama City,openflights-ourairports
EGE,Eagle County Regional Airport,Vail,openflights-ourairports
EKO,Elko Regional Airport,Elko,openflights-ourairports
ELM,Elmira Corning Regional Airport,Elmira,openflights-ourairports
ELP,El Paso International Airport,El Paso,openflights-ourairports
ESC,Delta County Airport,Escanaba,openflights-ourairports
EUG,Mahlon Sweet Field,Eugene,openflights-ourairports
EVV,Evansville Regional Airport,Evansville,openflights-ourairports
EWN,Coastal Carolina Regional Airport,New Bern,openflights-ourairports
EWR,Newark Liberty International Airport,Newark,openflights-ourairports
EYW,Key West International Airport,Key West,openflights-ourairports
FAI,Fairbanks International Airport,Fairbanks,openflights-ourairports
FAR,Hector International Airport,Fargo,openflights-ourairports
FAT,Fresno Yosemite International Airport,Fresno,openflights-ourairports
FAY,Fayetteville Regional Grannis Field,Fayetteville,openflights-ourairports
FCA,Glacier Park International Airport,Kalispell,openflights-ourairports
FLG,Flagstaff Pulliam Airport,Flagstaff,openflights-ourairports
FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,openflights-ourairports
FMN,Four Corners Regional Airport,Farmington,openflights-ourairports
FNT,Bishop International Airport,Flint,openflights-ourairports
FOD,Fort Dodge Regional Airport,Fort Dodge,openflights-ourairports
FSD,Joe Foss Field Airport,Sioux Falls,openflights-ourairports
FSM,Fort Smith Regional Airport,Fort Smith,openflights-ourairports
FWA,Fort Wayne International Airport,Fort Wayne,openflights-ourairports
GCC,Gillette Campbell County Airport,Gillette,openflights-ourairports
GCK,Garden City Regional Airport,Garden City,openflights-ourairports
GEG,Spokane International Airport,Spokane,openflights-ourairports
GFK,Grand Forks International Airport,Grand Forks,openflights-ourairports
GGG,East Texas Regional Airport,Longview,openflights-ourairports
GJT,Grand Junction Regional Airport,Grand Junction,openflights-ourairports
GNV,Gainesville Regional Airport,Gainesville,openflights-ourairports
GPT,Gulfport Biloxi International Airport,Gulfport,openflights-ourairports
GRB,Austin Straubel International Airport,Green Bay,openflights-ourairports
GRI,Central Nebraska Regional Airport,Grand Island,openflights-ourairports
GRK,Robert Gray  Army Air Field Airport,Killeen,openflights-ourairports
GRR,Gerald R. Ford International Airport,Grand Rapids,openflights-ourairports
GSO,Piedmont Triad International Airport,Greensboro,openflights-ourairports
GSP,Greenville Spartanburg International Airport,Greenville,openflights-ourairports
GST,Gustavus Airport,Gustavus,openflights-ourairports
GTF,Great Falls International Airport,Great Falls,openflights-ourairports
GTR,Golden Triangle Regional Airport,Columbus Mississippi,openflights-ourairports
GUC,Gunnison Crested Butte Regional Airport,Gunnison,openflights-ourairports
GUF,Jack Edwards Airport,Gulf Shores,openflights-ourairports
GUM,Antonio B. Won Pat International Airport,Agana,openflights-ourairports
HDN,Yampa Valley Airport,Hayden,openflights-ourairports
HGR,Hagerstown Regional Richard A Henson Field,Hagerstown,openflights-ourairports
HHH,Hilton Head Airport,Hilton Head Island,openflights-ourairports
HIB,Range Regional Airport,Hibbing,openflights-ourairports
HLN,Helena Regional Airport,Helena,openflights-ourairports
HNL,Daniel K Inouye International Airport,Honolulu,openflights-ourairports
HOB,Lea County Regional Airport,Hobbs,openflights-ourairports
HOU,William P Hobby Airport,Houston,openflights-ourairports
HPN,Westchester County Airport,White Plains,openflights-ourairports
HRL,Valley International Airport,Harlingen,openflights-ourairports
HSV,Huntsville International Carl T Jones Field,Huntsville,openflights-ourairports
HTS,Tri-State/Milton J. Ferguson Field,Huntington,openflights-ourairports
HYA,Barnstable Municipal Boardman Polando Field,Barnstable,openflights-ourairports
HYS,Hays Regional Airport,Hays,openflights-ourairports
IAD,Washington Dulles International Airport,Washington,openflights-ourairports
IAG,Niagara Falls International Airport,Niagara Falls,openflights-ourairports
IAH,George Bush Intercontinental Houston Airport,Houston,openflights-ourairports
ICT,Wichita Eisenhower National Airport,Wichita,openflights-ourairports
IDA,Idaho Falls Regional Airport,Idaho Falls,openflights-ourairports
ILM,Wilmington International Airport,Wilmington,openflights-ourairports
IMT,Ford Airport,Iron Mountain,openflights-ourairports
IND,Indianapolis International Airport,Indianapolis,openflights-ourairports
INL,Falls International Airport,International Falls,openflights-ourairports
ISP,Long Island Mac Arthur Airport,Islip,openflights-ourairports
ITO,Hilo International Airport,Hilo,openflights-ourairports
JAC,Jackson Hole Airport,Jacksn Hole,openflights-ourairports
JAN,Jackson-Medgar Wiley Evers International Airport,Jackson,openflights-ourairports
JAX,Jacksonville International Airport,Jacksonville,openflights-ourairports
JFK,John F Kennedy International Airport,New York,openflights-ourairports
JLN,Joplin Regional Airport,Joplin,openflights-ourairports
JMS,Jamestown Regional Airport,Jamestown,openflights-ourairports
JNU,Juneau International Airport,Juneau,openflights-ourairports
JST,John Murtha Johnstown Cambria County Airport,Johnstown,openflights-ourairports
KOA,Ellison Onizuka Kona International At Keahole Airport,Kona,openflights-ourairports
KTN,Ketchikan International Airport,Ketchikan,openflights-ourairports
LAN,Capital City Airport,Lansing,openflights-ourairports
LAR,Laramie Regional Airport,Laramie,openflights-ourairports
LAS,McCarran International Airport,Las Vegas,openflights-ourairports
LAW,Lawton Fort Sill Regional Airport,Lawton,openflights-ourairports
LAX,Los Angeles International Airport,Los Angeles,openflights-ourairports
LBB,Lubbock Preston Smith International Airport,Lubbock,openflights-ourairports
LBE,Arnold Palmer Regional Airport,Latrobe,openflights-ourairports
LBF,North Platte Regional Airport Lee Bird Field,North Platte,openflights-ourairports
LBL,Liberal Mid-America Regional Airport,Liberal,openflights-ourairports
LCH,Lake Charles Regional Airport,Lake Charles,openflights-ourairports
LCK,Rickenbacker International Airport,Columbus,openflights-ourairports
LEX,Blue Grass Airport,Lexington KY,openflights-ourairports
LFT,Lafayette Regional Airport,Lafayette,openflights-ourairports
LGA,La Guardia Airport,New York,openflights-ourairports
LGB,Long Beach /Daugherty Field/ Airport,Long Beach,openflights-ourairports
LIH,Lihue Airport,Lihue,openflights-ourairports
LIT,Bill & Hillary Clinton National Airport/Adams Field,Little Rock,openflights-ourairports
LNK,Lincoln Airport,Lincoln,openflights-ourairports
LRD,Laredo International Airport,Laredo,openflights-ourairports
LSE,La Crosse Municipal Airport,La Crosse,openflights-ourairports
LWS,Lewiston Nez Perce County Airport,Lewiston,openflights-ourairports
MAF,Midland International Airport,Midland,openflights-ourairports
MBS,MBS International Airport,Saginaw,openflights-ourairports
MCI,Kansas City International Airport,Kansas City,openflights-ourairports
MCO,Orlando International Airport,Orlando,openflights-ourairports
MCW,Mason City Municipal Airport,Mason City,openflights-ourairports
MDT,Harrisburg International Airport,Harrisburg,openflights-ourairports
MDW,Chicago Midway International Airport,Chicago,openflights-ourairports
MEI,Key Field,Meridian,openflights-ourairports
MEM,Memphis International Airport,Memphis,openflights-ourairports
MFE,Mc Allen Miller International Airport,Mcallen,openflights-ourairports
MFR,Rogue Valley International Medford Airport,Medford,openflights-ourairports
MGM,Montgomery Regional (Dannelly Field) Airport,MONTGOMERY,openflights-ourairports
MGW,Morgantown Municipal Walter L. Bill Hart Field,Morgantown,openflights-ourairports
MHK,Manhattan Regional Airport,Manhattan,openflights-ourairports
MHT,Manchester-Boston Regional Airport,Manchester NH,openflights-ourairports
MIA,Miami International Airport,Miami,openflights-ourairports
MKE,General Mitchell International Airport,Milwaukee,openflights-ourairports
MLB,Melbourne International Airport,Melbourne,openflights-ourairports
MLI,Quad City International Airport,Moline,openflights-ourairports
MLU,Monroe Regional Airport,Monroe,openflights-ourairports
MOB,Mobile Regional Airport,Mobile,openflights-ourairports
MOT,Minot International Airport,Minot,openflights-ourairports
MQT,Sawyer International Airport,Gwinn,openflights-ourairports
MRY,Monterey Peninsula Airport,Monterey,openflights-ourairports
MSN,Dane County Regional Truax Field,Madison,openflights-ourairports
MSO,Missoula International Airport,Missoula,openflights-ourairports
MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,openflights-ourairports
MSY,Louis Armstrong New Orleans International Airport,New Orleans,openflights-ourairports
MTJ,Montrose Regional Airport,Montrose CO,openflights-ourairports
MVY,Martha's Vineyard Airport,Vineyard Haven MA,openflights-ourairports
MYR,Myrtle Beach International Airport,Myrtle Beach,openflights-ourairports
OAJ,Albert J Ellis Airport,Jacksonville NC,openflights-ourairports
OAK,Metropolitan Oakland International Airport,Oakland,openflights-ourairports
OGG,Kahului Airport,Kahului,openflights-ourairports
OKC,Will Rogers World Airport,Oklahoma City,openflights-ourairports
OMA,Eppley Airfield,Omaha,openflights-ourairports
OME,Nome Airport,Nome,openflights-ourairports
ONT,Ontario International Airport,Ontario,openflights-ourairports
ORD,Chicago O'Hare International Airport,Chicago,openflights-ourairports
ORF,Norfolk International Airport,Norfolk,openflights-ourairports
ORH,Worcester Regional Airport,Worcester,openflights-ourairports
OTH,Southwest Oregon Regional Airport,North Bend,openflights-ourairports
OTZ,Ralph Wien Memorial Airport,Kotzebue,openflights-ourairports
PAE,Snohomish County (Paine Field) Airport,Everett,openflights-ourairports
PBG,Plattsburgh International Airport,Plattsburgh,openflights-ourairports
PBI,Palm Beach International Airport,West Palm Beach,openflights-ourairports
PDX,Portland International Airport,Portland,openflights-ourairports
